2026-09-11 10:03:36,909 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab29f20>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:03:42,087 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2a470>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:03:48,936 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2a250>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:03:52,112 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2b240>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:03:57,450 | ERROR | Fallo de conexión con SQL Server: ('08001', '[08001] [Microsoft][ODBC Driver 18 for SQL Server]TCP Provider: Tiempo de espera de la operación de espera agotado.\r\n (258) (SQLDriverConnect); [08001] [Microsoft][ODBC Driver 18 for SQL Server]Login timeout expired (0); [08001] [Microsoft][ODBC Driver 18 for SQL Server]A network-related or instance-specific error has occurred while establishing a connection to 192.168.50.19,1433. Server is not found or not accessible. Check if instance name is correct and if SQL Server is configured to allow remote connections. For more information see SQL Server Books Online. (258)')
2026-09-11 10:04:00,948 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2b680>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:04:02,473 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2b130>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:04:12,498 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2b020>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:04:12,966 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2af10>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:04:22,509 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2bf00>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:04:24,990 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2bac0>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:04:32,520 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244abc05a0>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:04:37,015 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244abc09e0>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:04:42,533 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244abc0d10>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:04:49,030 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2bac0>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:04:52,554 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2bce0>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:05:01,051 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2b020>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:05:02,576 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2b130>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:05:12,603 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2b570>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:05:13,072 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2b790>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
2026-09-11 10:05:22,614 | ERROR | Desconexión en stream en vivo de Hikvision: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/Event/notification/alertStream (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2a9c0>, 'Connection to 192.168.20.215 timed out. (connect timeout=5)')). Reintentando en 5 segundos...
2026-09-11 10:05:25,092 | ERROR | Error en sincronización por polling: HTTPConnectionPool(host='192.168.20.215', port=80): Max retries exceeded with url: /ISAPI/AccessControl/AcsEvent?format=json (Caused by ConnectTimeoutError(<HTTPConnection(host='192.168.20.215', port=80) at 0x2244ab2a690>, 'Connection to 192.168.20.215 timed out. (connect timeout=10)'))
